,id,age,gender,semester,subject,degree,created,finished,condition,study,study_sequence_position,additional_data,screen_size,operating_system,browser_language,siddata_user_id
314,253,22.0,male,10.0,Psychologie,,2021-08-05 10:17:27,2021-08-05 10:30:08,2,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1536x864,Win32,de,
315,252,19.0,male,2.0,Psychologie,,2021-08-05 09:28:35,,1,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",2048x1152,MacIntel,de-de,
316,251,24.0,female,11.0,International Business ,,2021-08-03 17:29:04,2021-08-03 17:42:32,4,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1440x900,MacIntel,de-de,
319,248,22.0,female,2.0,Cognitive Science,,2021-08-02 19:49:40,,1,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1536x864,Win32,de,
320,247,27.0,male,4.0,Cognitive Science,,2021-08-02 19:05:48,2021-08-02 19:23:39,4,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1600x900,Win32,de-DE,
321,246,27.0,,,,,2021-08-02 19:02:45,,3,3,,{},1600x900,Win32,de-DE,
322,245,,male,,sport,,2021-08-02 18:51:17,2021-08-02 19:25:45,2,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern unsicher und finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1366x768,Win32,de,
323,244,21.0,male,,Cognitive Science,,2021-08-02 12:06:21,2021-08-02 12:15:56,1,3,,{},1920x1080,Linux x86_64,en-US,
324,243,21.0,,,,,2021-08-02 11:59:02,,4,3,,{},1920x1080,Linux x86_64,en-US,
325,242,28.0,female,13.0,pflege,,2021-08-02 08:25:57,,3,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern unsicher, aber finde mich in neuen Programmen intuitiv zurecht.', 'consulting_requested': 'no'}",360x780,Linux aarch64,de-DE,
327,240,54.0,female,,,,2021-08-01 19:35:11,,1,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern unsicher und finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1366x768,Win32,de,
328,239,25.0,male,7.0,Cognitive Science,,2021-07-31 20:53:42,2021-07-31 21:10:54,4,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",2560x1440,Win32,de-DE,
329,238,23.0,female,8.0,Cognitive Science,,2021-07-31 12:15:20,2021-07-31 13:35:13,3,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
330,237,22.0,female,6.0,Cognitive Science,,2021-07-31 09:48:16,2021-07-31 10:00:47,2,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1366x768,Win32,de-DE,
331,236,24.0,female,6.0,Cognitive Science,,2021-07-30 15:48:17,,1,3,,"{'studytool_used': 'no', 'consulting_form': 'Mentoring', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'yes'}",1536x864,Win32,de,
332,235,,,,,,2021-07-30 15:25:22,,4,3,,{},1920x1080,Win32,de-DE,
333,234,22.0,male,6.0,Cognitive Science,,2021-07-30 13:12:28,2021-07-30 13:49:04,3,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1280x720,Linux x86_64,en-US,
334,233,26.0,male,12.0,Cognitive Science,,2021-07-30 12:41:13,2021-07-30 13:09:16,2,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,de-DE,
335,232,21.0,male,2.0,Wirtschaftswissenschaft,,2021-07-30 07:52:19,,1,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",360x720,Linux armv8l,ru-RU,
336,231,,,,tester,,2021-07-29 13:26:15,2021-07-29 13:30:07,4,3,,"{'consulting_form': '', 'consulting_requested': 'yes'}",1920x1080,Linux x86_64,en-US,
337,230,,,,tester,,2021-07-29 11:42:55,2021-07-29 11:50:01,3,3,,{},1920x1080,Linux x86_64,en-US,
338,229,,,,tester,,2021-07-29 11:37:34,2021-07-29 11:41:34,2,3,,{},1920x1080,Linux x86_64,en-US,
339,228,,,,tester,,2021-07-29 11:31:58,2021-07-29 11:36:51,1,3,,{},1920x1080,Linux x86_64,en-US,
340,227,34.0,male,7.0,tester,,2021-07-29 07:03:23,2021-07-29 07:13:33,4,3,,"{'studytool_name': 'xyz', 'studytool_used': 'yes', 'consulting_form': 'lkj', 'computer_handling': 'Ich fühle mich im Umgang mit Computern unsicher, aber finde mich in neuen Programmen intuitiv zurecht.', 'consulting_requested': 'yes'}",1920x1080,Linux x86_64,en-US,
343,224,,,,tester,,2021-07-28 10:25:22,2021-07-28 10:29:31,1,3,,{},1920x1080,Linux x86_64,en-US,
344,223,,,,,,2021-07-27 19:04:01,,4,3,,{},1920x1080,Linux x86_64,en-US,
347,220,16.0,male,5.0,testt,,2021-07-20 08:31:22,2021-07-20 08:46:19,1,3,,"{'studytool_name': '', 'studytool_used': 'yes', 'consulting_form': '', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'yes'}",1920x1080,Linux x86_64,en-US,
348,219,44.0,male,4.0,testt,,2021-07-20 08:07:02,,4,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
349,218,66.0,male,4.0,ssssss,,2021-07-19 15:15:02,,3,3,,"{'studytool_name': '', 'studytool_used': 'yes', 'consulting_form': '', 'computer_handling': 'Ich fühle mich im Umgang mit Computern unsicher, aber finde mich in neuen Programmen intuitiv zurecht.', 'consulting_requested': 'yes'}",2560x1440,MacIntel,de-de,
352,215,16.0,female,4.0,testt,,2021-07-19 08:47:50,2021-07-19 08:53:30,4,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
353,214,16.0,female,6.0,testt,,2021-07-19 08:04:49,2021-07-19 08:14:45,3,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
359,208,66.0,male,6.0,testt,,2021-07-15 14:55:13,2021-07-15 15:14:40,1,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",810x1080,MacIntel,en-gb,
362,205,33.0,male,4.0,testt,,2021-07-15 14:40:41,2021-07-15 14:49:47,2,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
363,204,16.0,male,1.0,Testt,,2021-07-15 14:29:01,,1,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
364,203,23.0,male,3.0,testt,,2021-07-15 14:20:47,,4,3,,"{'studytool_name': '', 'studytool_used': 'yes', 'consulting_form': '', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'yes'}",1920x1080,Linux x86_64,en-US,
365,202,56.0,male,6.0,testt,,2021-07-15 13:12:43,,3,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
370,197,16.0,female,4.0,testt,,2021-07-11 15:23:50,2021-07-11 15:28:35,2,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
371,196,33.0,male,3.0,testt,,2021-07-09 21:05:32,2021-07-09 21:08:58,1,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
372,195,16.0,female,1.0,Testy,,2021-07-09 15:39:36,,4,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
374,193,16.0,male,1.0,Tesst,,2021-07-09 15:21:49,,2,3,,"{'studytool_name': '', 'studytool_used': 'yes', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
375,192,16.0,male,1.0,vfdbfdn,,2021-07-09 15:17:54,,1,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern unsicher und finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
376,191,33.0,male,4.0,testt,,2021-07-09 12:08:33,,4,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
377,190,44.0,male,5.0,testt,,2021-07-09 11:54:54,,3,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
380,187,33.0,others,4.0,testt,,2021-07-09 07:18:52,,4,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
381,186,54.0,male,5.0,testt,,2021-07-09 07:02:56,,3,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
382,185,22.0,male,7.0,testt,,2021-07-09 06:41:44,,2,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
383,184,22.0,female,4.0,testt,,2021-07-09 06:40:52,,1,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
384,183,22.0,female,4.0,testt,,2021-07-09 06:39:25,,4,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
389,178,22.0,female,6.0,Pädagogik der Kindheit,,2021-07-07 17:11:35,2021-07-07 17:37:14,3,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1536x864,Win32,de,
395,172,22.0,female,6.0,Ev. Theologie/ Politik-Wirtschaft und DaF auf Gymnasiallehramt,,2021-07-07 07:08:36,2021-07-07 07:30:26,1,3,,"{'studytool_used': 'no', 'consulting_form': 'im schulischen Kontext', 'computer_handling': 'Ich fühle mich im Umgang mit Computern unsicher und finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'yes'}",1366x768,Win32,de-DE,
396,171,24.0,female,7.0,Rechtswissenschaft ,,2021-07-06 21:43:42,2021-07-06 22:08:55,4,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",375x812,iPhone,de-de,
408,159,57.0,female,20.0,Architektur,,2021-07-04 17:56:22,2021-07-04 18:25:17,4,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern unsicher und finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1366x768,Win32,de,
409,158,58.0,male,10.0,keines,,2021-07-04 17:55:29,2021-07-04 18:19:58,3,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1280x800,MacIntel,de,
410,157,24.0,male,7.0,Maschinenbau Wirtschaft und Management,,2021-07-04 17:47:29,2021-07-04 18:05:12,2,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1440x900,MacIntel,de-DE,
414,153,22.0,female,2.0,B.Sc. Life Science,,2021-07-01 19:18:01,2021-07-01 19:39:18,2,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern unsicher, aber finde mich in neuen Programmen intuitiv zurecht.', 'consulting_requested': 'no'}",810x1080,MacIntel,de-de,
415,152,17.0,male,1.0,Politikwissenschaft,,2021-07-01 17:41:45,2021-07-01 17:56:40,1,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1600x900,Win32,de,
417,150,24.0,female,11.0,International Business ,,2021-07-01 13:01:07,2021-07-01 13:22:45,3,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",1440x900,MacIntel,de-de,
418,149,22.0,female,6.0,testt,,2021-07-01 07:12:27,2021-07-01 07:25:19,2,3,,"{'studytool_name': 'tool', 'studytool_used': 'yes', 'consulting_form': 'beratung', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'yes'}",1920x1080,Linux x86_64,en-US,
419,148,22.0,female,2.0,testt,,2021-06-30 16:19:47,2021-06-30 16:23:11,1,3,,"{'studytool_name': 'tool', 'studytool_used': 'yes', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
420,147,22.0,female,4.0,testt,,2021-06-30 16:13:23,2021-06-30 16:18:51,4,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern unsicher, aber finde mich in neuen Programmen intuitiv zurecht.', 'consulting_requested': 'no'}",1920x1080,Linux x86_64,en-US,
421,146,22.0,female,5.0,testt,,2021-06-30 16:04:01,2021-06-30 16:10:52,3,3,,"{'studytool_used': 'no', 'consulting_form': 'bertaung', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher, aber finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'yes'}",1920x1080,Linux x86_64,en-US,
422,145,22.0,female,3.0,testt,,2021-06-30 15:52:30,2021-06-30 15:58:48,2,3,,"{'studytool_name': 'bsp tool', 'studytool_used': 'yes', 'consulting_form': 'studienberatung', 'computer_handling': 'Ich fühle mich im Umgang mit Computern unsicher und finde mich in neuen Programmen nicht intuitiv zurecht.', 'consulting_requested': 'yes'}",1920x1080,Linux x86_64,en-US,
429,138,22.0,female,3.0,testt,,2021-06-29 07:35:28,2021-06-29 07:41:37,3,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",810x1080,MacIntel,en-gb,
430,137,22.0,female,4.0,testt,,2021-06-29 07:19:01,2021-06-29 07:26:40,2,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",810x1080,MacIntel,en-gb,
431,136,22.0,female,7.0,testt,,2021-06-29 07:14:27,,1,3,,"{'studytool_used': 'no', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'no'}",810x1080,MacIntel,en-gb,
436,131,22.0,female,4.0,testt,,2021-06-28 13:20:48,2021-06-28 13:24:54,4,3,,"{'studytool_name': '', 'studytool_used': 'yes', 'consulting_form': '', 'computer_handling': 'Ich fühle mich im Umgang mit Computern sicher und finde mich in neuen Programmen intuitiv und schnell zurecht.', 'consulting_requested': 'yes'}",1920x1080,Linux x86_64,en-US,
